pair,entry_date,exit_date,direction,entry_z,exit_z,holding_days,pnl_pct,exit_reason
DHI/LEN,2026-04-21,2026-04-24,-1,2.561861289895609,-0.6016791533390677,3,0.003655212848341233,mean_reversion
DHI/LEN,2026-05-06,2026-05-26,1,-2.2896071000021325,-0.00380103065543867,20,-0.005610097396702619,mean_reversion
DHI/LEN,2026-06-09,2026-06-12,-1,2.326999335997267,3.911681094291592,3,-0.023549317991071933,mean_reversion
DHI/LEN,2026-06-15,2026-06-25,-1,2.991373510709233,0.03853913577440928,10,-0.016812049253493434,mean_reversion
AEP/EXC,2023-08-17,2023-08-25,1,-2.3717079576583227,-0.34229016679985774,8,-0.0028103597993230428,mean_reversion
AEP/EXC,2023-09-05,2023-09-11,1,-2.016900469256018,-0.45718362686727637,6,-0.003995743546026578,mean_reversion
AEP/EXC,2023-09-19,2023-09-20,-1,2.503736558369237,3.008225622018293,1,-0.007355901412157218,mean_reversion
AEP/EXC,2023-09-21,2023-10-05,-1,2.60076258630753,-1.2177405525558618,14,0.015502281005462543,mean_reversion
AEP/EXC,2023-10-12,2023-10-16,1,-2.0055224759450985,-0.036607890952280495,4,0.010831636954304592,mean_reversion
AEP/EXC,2023-12-14,2023-12-15,-1,3.773829303183203,3.955879594216162,1,-0.02574780286634396,stop_loss
AEP/EXC,2023-12-18,2023-12-26,-1,3.2892539499559845,0.4230889267657981,8,0.019223417002342598,mean_reversion
AEP/EXC,2024-02-29,2024-03-04,-1,2.117365829226973,-0.1692686682278414,4,0.009690770214594198,mean_reversion
AEP/EXC,2024-03-11,2024-03-20,1,-2.1300594253168965,-0.4602863234382483,9,0.0014414820796861114,mean_reversion
AEP/EXC,2024-04-23,2024-05-14,-1,2.205444197094634,-0.0335903595961478,21,-0.021356097054307313,mean_reversion
AEP/EXC,2024-06-12,2024-06-13,-1,2.3097276484009863,0.24130880649583747,1,0.007628171855922313,mean_reversion
AEP/EXC,2024-08-05,2024-08-15,1,-2.561567738402161,-3.507334928502595,10,-0.009982769380170575,mean_reversion
AEP/EXC,2024-08-16,2024-08-27,1,-2.684408195031922,-0.3334897071953548,11,0.0052232672391077225,mean_reversion
AEP/EXC,2024-09-12,2024-09-18,1,-2.2090523857230826,-0.2240663420388215,6,0.0035827518947407324,mean_reversion
AEP/EXC,2024-09-20,2024-10-10,1,-2.424849744228507,-0.389162533791597,20,-0.013783256463478482,mean_reversion
AEP/EXC,2024-10-31,2024-11-01,-1,3.32069446940042,3.4250499742243954,1,-0.00884569460639962,stop_loss
AEP/EXC,2024-11-04,2024-11-11,-1,3.3771839728071433,-0.7020520674683416,7,0.023515283295976526,mean_reversion
AEP/EXC,2025-01-06,2025-01-10,1,-2.0539303804957267,1.4660539885169157,4,0.02183455075710251,mean_reversion
AEP/EXC,2025-04-03,2025-04-09,1,-2.671525751927679,-0.19781020822628406,6,-0.0010014004175595325,mean_reversion
AEP/EXC,2025-06-04,2025-06-10,-1,2.215170791326188,-0.6294832086103197,6,-6.008848350474907e-05,mean_reversion
AEP/EXC,2025-07-16,2025-07-28,-1,2.57216044810545,0.014929069547996292,12,-0.007238959692009986,mean_reversion
AEP/EXC,2025-07-30,2025-08-05,-1,3.3537538876660387,0.25157027055176867,6,0.0027879063218760694,mean_reversion
AEP/EXC,2025-09-05,2025-09-12,1,-2.2068440582029014,-0.0436889243731312,7,0.004795281631084942,mean_reversion
AEP/EXC,2025-09-18,2025-09-26,1,-2.1726640039598304,-0.0411774888578304,8,-0.0008788154628339442,mean_reversion
AEP/EXC,2025-10-29,2025-11-14,-1,3.763276708981114,-0.024752166141982647,16,-0.011526802945583572,mean_reversion
AEP/EXC,2026-01-09,2026-01-16,-1,2.391672621706311,0.040847738623589584,7,0.00119971437007174,mean_reversion
AEP/EXC,2026-02-03,2026-02-06,-1,2.256228371090699,0.448732566149254,3,0.0011158528847878607,mean_reversion
AEP/EXC,2026-04-08,2026-04-28,-1,2.420790950496931,0.3125234738902529,20,-0.027049335677041413,mean_reversion
AEP/EXC,2026-04-30,2026-05-04,-1,2.2333193459545555,-0.7208272909714151,4,0.013663935101262906,mean_reversion
AEP/EXC,2026-05-13,2026-06-04,1,-2.1908361808641335,-0.1326871054642391,22,-0.010914950039676175,mean_reversion
AEP/EXC,2026-06-23,2026-06-25,-1,2.1449731876880906,3.089348456941744,2,-0.012831296756330053,mean_reversion
AEP/EXC,2026-06-26,2026-07-02,-1,2.306461360983385,0.41923465072723476,6,0.003878723568407412,mean_reversion
XOM/VLO,2023-07-19,2023-07-27,1,-2.360092731809062,-0.25275769945924487,8,-0.015394317762200578,mean_reversion
XOM/VLO,2023-07-28,2023-07-31,1,-2.2094850222678875,0.18704318299613834,3,0.01307432760528852,mean_reversion
XOM/VLO,2023-09-11,2023-09-14,1,-2.5317680867238934,-0.08257276870543614,3,0.008854374851604344,mean_reversion
XOM/VLO,2023-10-03,2023-10-06,-1,2.1887755703002143,0.15912349365060618,3,0.010809642338799004,mean_reversion
XOM/VLO,2023-12-18,2023-12-21,1,-2.225421174829254,-0.25910099461737035,3,-0.0015984582560116846,mean_reversion
XOM/VLO,2024-01-02,2024-01-11,-1,2.153184325172668,-0.25301110227041623,9,0.006503000535760064,mean_reversion
XOM/VLO,2024-02-16,2024-02-20,-1,2.4298490479796326,3.0486398861630133,4,-0.013192100306233842,mean_reversion
XOM/VLO,2024-02-21,2024-02-23,-1,2.459271380999504,-0.18188635279011509,2,0.01868368617566703,mean_reversion
XOM/VLO,2024-03-13,2024-03-22,1,-2.1815181547877303,-0.23631898410859706,9,-0.01876541622522427,mean_reversion
XOM/VLO,2024-04-09,2024-04-23,-1,2.2197099183088786,0.48450475506326107,14,-0.0263439756822526,mean_reversion
XOM/VLO,2024-05-17,2024-05-29,1,-3.0891284980691265,0.8119674586843659,12,0.004451595024518283,mean_reversion
XOM/VLO,2024-07-18,2024-07-19,-1,2.0247031512320897,-0.12042704463379067,1,0.011516977506966931,mean_reversion
XOM/VLO,2024-07-25,2024-08-01,1,-2.287219241292431,-0.17292139548972207,7,-0.006146823624384615,mean_reversion
XOM/VLO,2024-09-26,2024-09-27,1,-2.5808454342520135,-0.47026403718789944,1,0.013619857669997532,mean_reversion
XOM/VLO,2024-11-06,2024-11-20,1,-2.4010609208162537,-0.48622896457610937,14,-0.013641803616437471,mean_reversion
XOM/VLO,2024-12-19,2024-12-30,-1,2.0309506555917047,0.037424356054370736,11,-0.0004888716947403535,mean_reversion
